num_threads,spacing(mm),length(mm),force_mag(N),nonlinearity,memory
4,90.0,449.99999999999994,0.037565740045078885,0.7739944946435429,0.3769323561602531
4,90.0,449.99999999999994,0.028935185185185185,0.7959811482613501,0.3690649966106769
4,90.0,449.99999999999994,0.02275830678197542,0.8092351636465889,0.35253654609236496
4,90.0,449.99999999999994,0.018221574344023325,0.8113915707860411,0.3275794348716379
4,90.0,449.99999999999994,0.014814814814814815,0.7693100707755013,0.29358524563179267
4,100.0,500.0,0.05,0.8049819996570944,0.3751775690672787
4,100.0,500.0,0.037565740045078885,0.8111785735970131,0.37102334082498645
4,100.0,500.0,0.028935185185185185,0.7893360260179934,0.37219073816416615
4,100.0,500.0,0.02275830678197542,0.7903272237133979,0.36057045410057825
4,100.0,500.0,0.018221574344023325,0.7855106106128538,0.3405156974625488
4,100.0,500.0,0.014814814814814815,0.7615826906893703,0.3190362771661816
4,110.0,550.0,0.037565740045078885,0.7838284548960168,0.28208052763939917
4,110.0,550.0,0.028935185185185185,0.7793827877586811,0.28283982909278377
4,110.0,550.0,0.02275830678197542,0.7619244432515085,0.2759778052725925
4,110.0,550.0,0.018221574344023325,0.7400697306458932,0.2571947814360094
4,110.0,550.0,0.014814814814814815,0.7152376091895493,0.23765105148941937
4,120.0,600.0,0.028935185185185185,0.8021439211154174,0.17119391321011343
4,120.0,600.0,0.02275830678197542,0.7721132868865229,0.17683407596198175
4,120.0,600.0,0.018221574344023325,0.7626004592896252,0.18848812917779617
4,120.0,600.0,0.014814814814814815,0.7350113625204658,0.18069964414708717
4,130.0,650.0,0.02275830678197542,0.7696646682959384,0.23942678672285297
4,130.0,650.0,0.018221574344023325,0.7457382871023992,0.2420815087477149
4,130.0,650.0,0.014814814814814815,0.7076011506425015,0.24707738478026228
4,140.0,700.0000000000001,0.018221574344023325,0.754942855363989,0.23992379340614658
4,140.0,700.0000000000001,0.014814814814814815,0.7303717114884688,0.24499576656635616
4,150.0,750.0,0.014814814814814815,0.6792981955127455,0.2420766117861544
4,30.0,150.0,6.25,0.5872414710332422,0.13616861328060087
4,40.0,200.0,6.25,0.5189100282500365,0.16020655195638492
4,50.0,250.0,6.25,0.467410580205671,0.15574768861805743
4,60.0,300.0,6.25,0.4403153527904369,0.1485592131040357
4,70.0,350.00000000000006,6.25,0.4237488254957217,0.16692932559813828
4,80.0,400.0,6.25,0.42034402636222934,0.18977509653920885
4,90.0,449.99999999999994,6.25,0.40229735309716635,0.19172789154160577
4,100.0,500.0,6.25,0.3936347689943103,0.1962176939247653
4,110.0,550.0,6.25,0.380973248149664,0.21210393669414174
4,120.0,600.0,6.25,0.3651183161986629,0.22410283110530815
4,130.0,650.0,6.25,0.34816748885512544,0.23531842118512936
4,140.0,700.0000000000001,6.25,0.3407131439618071,0.2321870367469781
4,150.0,750.0,6.25,0.3434662974206999,0.23322022943303625
4,30.0,150.0,5.0,0.5936449324414392,0.14490240978990307
4,40.0,200.0,5.0,0.5171752424000955,0.15682981946905655
4,50.0,250.0,5.0,0.49475475359309334,0.16209413821712138
4,60.0,300.0,5.0,0.4053047023448003,0.16329516575637398
4,70.0,350.00000000000006,5.0,0.4374573230625587,0.19211191881940806
4,80.0,400.0,5.0,0.39103550591128233,0.1736921981353767
